vrom,address,name,file,length,hash of top bits of words,functions called by this function,non-jal function calls,referenced functions
0x02BE00,0x8012BE00,func_8012BE00,,0x8C,0c07644dcbe5d688b793282e317f9da0,[func_8012AE8C],[],[]
0x02BE8C,0x8012BE8C,func_8012BE8C,,0x54,1395d9dd9beade2e95aa7d161f5644e0,[func_8012B048],[],[]
0x02BEE0,0x8012BEE0,func_8012BEE0,,0x168,cb43c4a3f38d99681fc6f9bd0e417dae,[func_80173CE8],[],[]
0x02C048,0x8012C048,func_8012C048,,0xDC,8d744e51957d1f1755836ad40950d174,[func_80147000;func_801793DC],[],[]
0x02C124,0x8012C124,func_8012C124,,0x18C,b18d9025bef58a3ed937446b3f4c6109,[func_80133998],[],[]
0x02C2B0,0x8012C2B0,func_8012C2B0,,0x7C,6421ad15b84b2764208c0a7d5e552916,[func_801C6000;func_801C4040],[],[]
0x02C32C,0x8012C32C,func_8012C32C,,0x90,e4ab07cb2c5c4db3334d5ae7943750fc,[],[],[]
0x02C3BC,0x8012C3BC,func_8012C3BC,,0x224,586890f4636b16101408c3471f9761ee,[func_801B66D4;func_801B7764;func_80147000;func_80147000;func_80147000;func_801B66D4],[],[]
0x02C5E0,0x8012C5E0,func_8012C5E0,,0x6C8,e84c650ae0b05ec25afa8a5296a5d617,[func_801B7764;func_80148D0C;func_80165230;func_8015B524;func_80149318;func_801C4030],[],[]
0x02CCA8,0x8012CCA8,func_8012CCA8,,0x9C,ec95e8dc60ce4111c966877721af7d8d,[func_80155A44;func_80145680;func_8011FD80;func_8011F9F4;func_8011FF40;func_80177A14;func_8014D548],[],[]
0x02CD44,0x8012CD44,func_8012CD44,,0x19C,2e12464b32d3c2ec02c0b54d4fcdcc56,[func_8018C700;func_80149318;func_8018C700;func_80167604;func_801B7764;func_801B7764],[],[]
0x02CEE0,0x8012CEE0,func_8012CEE0,,0x34C,f5d1620afec0d71e6f0c2789082fba31,[func_80155A44;func_80145680;func_8011FD80;func_8011FF40;func_8014A50C;func_801469E4;func_8014D548;func_801469E4;func_801469E4;func_801469E4;func_801399EC],[],[]
0x02D22C,0x8012D22C,T_8012D22C,,0x100,ee69b94db1051d1a1c282676a8cb4181,[],[],[]
0x02D32C,0x8012D32C,func_8012D32C,,0x90,a785184deb5aa64749b56d642fa35dd0,[],[],[]
0x02D3BC,0x8012D3BC,func_8012D3BC,,0xBC,2ed175ebbc88c2bbded3d82043349247,[func_8012C2B0],[],[]
0x02D478,0x8012D478,T_8012D478,,0xDB4,263b51d8fc3b3d319b019ab40940da4b,[],[],[]
